date,N,N.lcl,N.ucl,p,p.lcl,p.ucl,pent,pent.lcl,pent.ucl,Phi,Phi.lcl,Phi.ucl,sundur,temp,wind
2020-05-16,890.550218168585,469.883644067113,1687.8214449338,0.0290105,0.0169566,0.0492042,,,,0.7863832,0.5630629,0.9131659,7.578,14.8333333333333,8.61333333333333
2020-05-17,1423.02449489506,847.998765626958,2387.97365651136,0.0310137,0.0182569,0.0522101,0.0911483,0.0600096,0.1361052,0.7890162,0.5833068,0.9090134,8.111,15.1814814814815,9.54
2020-05-21,1744.97336814178,1047.0934316458,2907.98505987963,0.0404468,0.0248081,0.065284,0.1505192,0.1163294,0.1925679,0.7993099,0.6584266,0.8916477,9.001,19.8592592592593,9.38
2020-05-22,2649.57894407896,1649.50010286529,4255.99766178364,0.0314248,0.0190766,0.0513478,0.158256,0.1203005,0.2053907,0.8018238,0.6752182,0.8873128,0.35,21.5703703703704,11.4266666666667
2020-05-26,2229.89044121166,1325.80029923013,3750.49800689782,0.0221725,0.0126917,0.0384595,0.1431075,0.1145368,0.1773774,0.8116418,0.7302464,0.8727565,3.408,15.3388888888889,4.86
2020-05-27,2836.14107753007,1779.72120592039,4519.63834835222,0.0340582,0.0209129,0.0550019,0.1294331,0.1081489,0.1541819,0.8140371,0.7399121,0.8707274,6.659,19.6925925925926,7.24666666666667
2020-05-30,2163.68392349123,1324.09666157417,3535.63924495415,0.0367005,0.0218142,0.0611108,0.079934,0.061004,0.1040871,0.8210819,0.7551064,0.8722894,4.974,15.6203703703704,20.1733333333333
2020-05-31,2284.7471579697,1462.58734479477,3569.06518740807,0.0325616,0.0196482,0.053499,0.0640924,0.0427559,0.0950196,0.8233833,0.7552849,0.8756515,5.955,15.9185185185185,13.5933333333333
2020-06-02,1847.46467336398,1174.85215623954,2905.15338564182,0.0457401,0.028306,0.0731045,0.0376465,0.0176422,0.0785206,0.8279163,0.7494616,0.8855548,8.684,21.7925925925926,10.98
2020-06-03,1748.21336731969,1127.70285923556,2710.15538592056,0.0346912,0.0215381,0.0554218,0.0275783,0.0104577,0.0707243,0.8301479,0.7441242,0.8914691,3.836,21.3314814814815,9.67333333333333
2020-06-08,718.60831388028,395.148820677335,1306.84410975259,0.0298059,0.0180316,0.048886,0.0037036,0.0003515457,0.0378102,0.8409619,0.7028909,0.9219904,5.66,17.5685185185185,7.86
2020-06-09,622.278939269865,335.918316993768,1152.75368644459,0.0236396,0.0138709,0.0400091,0.0022647,0.0001526026,0.0326546,,,,0,16.8018518518519,10.2333333333333
